A549	ENCSR000DPD	ChIP-seq	H3K4me3	ENCODE	signal	released	33	3	p3
A549	ENCSR000AST	ChIP-seq	H3K4me3	ENCODE	signal	released	33	3	p3
A549	ENCSR000ASH	ChIP-seq	H3K4me3	ENCODE	signal	released	33	3	p3
A549	ENCSR000AUM	ChIP-seq	H3K4me1	ENCODE	signal	released	33	3	p3
A549	ENCSR000AUK	ChIP-seq	H3K27me3	ENCODE	signal	released	33	3	p3
A549	ENCSR000AUN	ChIP-seq	H3K9me3	ENCODE	signal	released	33	3	p3
A549	ENCSR000AVF	ChIP-seq	H3K27ac	ENCODE	signal	released	33	3	p3
A549	ENCSR000AUI	ChIP-seq	H3K27ac	ENCODE	signal	released	33	3	p3
A549	ENCSR000ASV	ChIP-seq	H3K9ac	ENCODE	signal	released	33	3	p3
A549	ENCSR000AUH	ChIP-seq	H2AFZ	ENCODE	signal	released	33	3	p3
A549	ENCSR000AVI	ChIP-seq	H3K4me2	ENCODE	signal	released	33	3	p3
A549	ENCSR000ATP	ChIP-seq	H3K79me2	ENCODE	signal	released	33	3	p3
A549	ENCSR000AUO	ChIP-seq	H4K20me1	ENCODE	signal	released	33	3	p3
A673	ENCSR435FGK	ChIP-seq	H3K4me3	ENCODE	signal	released	7	3	p3
A673	ENCSR581PUR	ChIP-seq	H3K36me3	ENCODE	signal	released	7	3	p3
A673	ENCSR521IZK	ChIP-seq	H3K4me1	ENCODE	signal	released	7	3	p3
A673	ENCSR747BYL	ChIP-seq	H3K27me3	ENCODE	signal	released	7	3	p3
A673	ENCSR988EGR	ChIP-seq	H3K9me3	ENCODE	signal	released	7	3	p3
A673	ENCSR714TJD	ChIP-seq	H3K27ac	ENCODE	signal	released	7	3	p3
ACC112	ENCSR778VGY	ChIP-seq	H3K4me3	ENCODE	signal	released	7	3	p3
ACC112	ENCSR897FOZ	ChIP-seq	H3K36me3	ENCODE	signal	released	7	3	p3
ACC112	ENCSR726ZZX	ChIP-seq	H3K4me1	ENCODE	signal	released	7	3	p3
ACC112	ENCSR475NLR	ChIP-seq	H3K27me3	ENCODE	signal	released	7	3	p3
ACC112	ENCSR059MVB	ChIP-seq	H3K27ac	ENCODE	signal	released	7	3	p3
ACC112	ENCSR311DQO	ChIP-seq	H2AFZ	ENCODE	signal	released	7	3	p3
ACC112	ENCSR741GJT	ChIP-seq	H3K79me2	ENCODE	signal	released	7	3	p3
AG04449	ENCSR000DPI	ChIP-seq	H3K4me3	ENCODE	signal	released	3	3	p3
AG04450	ENCSR000DPO	ChIP-seq	H3K4me3	ENCODE	signal	released	7	3	p3
AG04450	ENCSR000DPK	ChIP-seq	H3K27me3	ENCODE	signal	released	7	3	p3
AG04450	ENCSR000DPJ	ChIP-seq	H3K9me3	ENCODE	signal	released	7	3	p3
AG04450	ENCSR000DPL	ChIP-seq	H3K27ac	ENCODE	signal	released	7	3	p3
AG09309	ENCSR000DPR	ChIP-seq	H3K4me3	ENCODE	signal	released	3	3	p3
AG09319	ENCSR000DPU	ChIP-seq	H3K4me3	ENCODE	signal	released	3	3	p3
AG10803	ENCSR000DPX	ChIP-seq	H3K4me3	ENCODE	signal	released	3	3	p3
B cell	ENCSR000DQR	ChIP-seq	H3K4me3	ENCODE	signal	released	34	3	p3
B cell	ENCSR000DQP	ChIP-seq	H3K4me3	ENCODE	signal	released	34	3	p3
B cell	ENCSR878JSF	ChIP-seq	H3K4me3	ENCODE	signal	released	34	3	p3
B cell	ENCSR424XBP	ChIP-seq	H3K36me3	ENCODE	signal	released	34	3	p3
B cell	ENCSR290YLQ	ChIP-seq	H3K4me1	ENCODE	signal	released	34	3	p3
B cell	ENCSR162DGX	ChIP-seq	H3K27me3	ENCODE	signal	released	34	3	p3
B cell	ENCSR005WWZ	ChIP-seq	H3K9me3	ENCODE	signal	released	34	3	p3
B cell	ENCSR000AUP	ChIP-seq	H3K27ac	ENCODE	signal	released	34	3	p3
B cell	ENCSR799SLA	ChIP-seq	H3K9ac	ENCODE	signal	released	34	3	p3
B cell	ENCSR000AUX	ChIP-seq	H2AFZ	ENCODE	signal	released	34	3	p3
B cell	ENCSR000AUY	ChIP-seq	H3K4me2	ENCODE	signal	released	34	3	p3
B cell	ENCSR051VDI	ChIP-seq	H3K79me2	ENCODE	signal	released	34	3	p3
B cell	ENCSR000AVJ	ChIP-seq	H4K20me1	ENCODE	signal	released	34	3	p3
BE2C	ENCSR000DQB	ChIP-seq	H3K4me3	ENCODE	signal	released	4	3	p3
BJ	ENCSR000DQH	ChIP-seq	H3K4me3	ENCODE	signal	released	6	3	p3
BJ	ENCSR000DQF	ChIP-seq	H3K36me3	ENCODE	signal	released	6	3	p3
BJ	ENCSR000DQG	ChIP-seq	H3K27me3	ENCODE	signal	released	6	3	p3
CD14-positive monocyte	ENCSR000ASN	ChIP-seq	H3K4me3	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000DWL	ChIP-seq	H3K4me3	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000ASL	ChIP-seq	H3K36me3	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000ASM	ChIP-seq	H3K4me1	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000ASK	ChIP-seq	H3K27me3	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000DWM	ChIP-seq	H3K27me3	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000ASP	ChIP-seq	H3K9me3	ENCODE	signal	released	27	3	p3
CD14-positive monocyte	ENCSR000ASJ	ChIP-seq	H3K27ac	ENCODE	signal	released	27	3	p3
